TripLevel,Regional Danger Rating,Persistent Avalanche Problem,Slab Awareness,Signs of Instability,Recent Loading,Critical Warming,AvalancheConditions,Slope Steepness,Terrain Traps,Slope Shape,Forest Density,TerrainCharacteristics,Date of Run,Country,outcome,id
Caution,1,1,0,0,1,1,4,1,1,0,0,2,2023-05-06T00:00:00Z,Norway,1,1
Caution,1,1,0,1,1,0,4,0,1,0,0,1,2023-05-02T00:00:00Z,Norway,1,1
Caution,1,1,1,0,1,0,4,1,1,0,0,2,2023-04-25T00:00:00Z,Norway,1,1
Caution,1,1,0,0,1,0,3,0,1,0,0,1,2023-04-24T00:00:00Z,Norway,1,1
Caution,1,1,1,1,1,0,5,1,1,0,0,2,2023-04-23T00:00:00Z,Norway,1,1
Caution,1,1,1,1,1,0,5,1,1,0,0,2,2023-04-22T00:00:00Z,Norway,0,1
Extra Caution,1,1,1,0,0,1,4,1,1,0,0,2,2023-04-15T00:00:00Z,Norway,1,1
Caution,1,1,0,0,0,0,2,0,0,0,0,0,2023-04-14T00:00:00Z,Norway,1,1
Caution,1,0,0,0,0,1,2,0,0,0,0,0,2023-04-13T00:00:00Z,Norway,1,1
Caution,1,1,1,1,0,1,5,1,1,0,0,2,2023-04-12T00:00:00Z,Norway,1,1
Extra Caution,1,1,1,1,1,1,6,1,1,1,0,3,2023-04-06T00:00:00Z,Norway,0,1
Extra Caution,1,1,1,1,1,0,5,0,0,0,0,0,2023-04-02T00:00:00Z,Norway,1,1
Extra Caution,1,1,1,1,1,0,5,1,1,1,1,4,2023-04-01T00:00:00Z,Norway,0,1
2,1,0,0,0,1,1,3,0,1,0,1,2,2023-02-28T00:00:00Z,italy,1,2
2,1,0,0,0,1,1,3,0,1,0,1,2,2023-03-01T00:00:00Z,Italy,1,2
2,1,0,0,0,0,1,2,1,1,0,1,3,2023-03-02T00:00:00Z,Italy,1,2
3,1,0,0,0,1,1,3,1,1,0,1,3,2023-03-01T00:00:00Z,Italy,0,2
3,1,1,0,0,0,1,3,1,1,1,1,4,2023-03-03T00:00:00Z,Italy,0,2
2,1,1,0,0,0,1,3,0,0,0,1,1,2023-03-03T00:00:00Z,italy,1,2
2,1,1,0,0,0,1,3,1,0,0,1,2,2023-03-04T00:00:00Z,Italy,1,2
2,1,1,0,0,0,1,3,1,1,0,1,3,2023-03-05T00:00:00Z,Italy,1,2
3,1,1,0,1,1,1,5,0,1,0,0,1,2023-03-11T00:00:00Z,Switzerland,1,2
3,1,1,1,1,1,1,6,0,0,0,1,1,2023-03-12T00:00:00Z,Switzerland,1,2
3,1,1,1,1,1,1,6,1,0,1,1,3,2023-03-12T00:00:00Z,Switzerland,0,2
2,1,1,1,0,0,1,4,0,0,0,1,1,2023-03-15T00:00:00Z,Switzerland,1,2
2,1,1,0,0,1,1,4,1,1,0,1,3,2023-05-06T00:00:00Z,Norway,1,2
2,1,1,0,1,1,0,4,0,1,0,1,2,2023-05-02T00:00:00Z,Norway,1,2
2,1,1,1,0,1,0,4,1,1,0,1,3,2023-04-25T00:00:00Z,Norway,1,2
2,1,1,0,0,1,0,3,0,1,0,1,2,2023-04-24T00:00:00Z,Norway,1,2
2,1,1,1,1,1,0,5,1,1,0,1,3,2023-04-23T00:00:00Z,Norway,1,2
2,1,1,1,1,1,0,5,1,1,0,1,3,2023-04-22T00:00:00Z,Norway,0,2
3,1,1,1,0,0,1,4,1,1,0,1,3,2023-04-15T00:00:00Z,Norway,1,2
2,1,1,0,0,0,0,2,0,0,0,1,1,2023-04-14T00:00:00Z,Norway,1,2
2,1,0,0,0,0,1,2,0,0,0,1,1,2023-04-13T00:00:00Z,Norway,1,2
2,1,1,1,1,0,1,5,1,1,0,1,3,2023-04-12T00:00:00Z,Norway,1,2
3,1,1,1,1,1,1,6,1,1,1,1,4,2023-04-06T00:00:00Z,Norway,0,2
3,1,1,1,1,1,0,5,0,0,0,1,1,2023-04-02T00:00:00Z,Norway,1,2
3,1,1,1,1,1,0,5,1,1,1,0,3,2023-04-01T00:00:00Z,Norway,0,2
